"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"240",26,39,52,15,22,34,10,15,23,0.751939266265646,0.0923375964517083,-0.315718802064701,-0.139286521994227,-1.16745665887522,NA,"1",7
"241",23,41,43,14,26,27,9,17,19,0.528507379024542,0.384493773634931,-0.707363122992195,-0.28455497018826,-0.797299565488618,"male","1",0
"242",39,50,40,26,31,24,17,22,16,-0.223754156028413,0.384493773634931,-0.109701194080522,-1.17493345890868,-0.0049968568735606,NA,"1",0
"243",19,30,44,11,17,27,6,12,16,-0.000322268787309145,-0.932173496454588,-1.51104265988805,-0.0666522978972098,-1.71475239500028,"male","3",4
"245",33,34,25,21,16,14,16,10,10,-1.50484533889322,0.848056623890875,0.807182594327852,-1.51117136712337,-1.53232048295859,"male","1",0
"246",19,45,44,13,26,29,10,17,20,0.487524442359721,-0.236829221070671,0.487960734831151,0.619290124667362,-0.24471056006033,"female","1",9
"247",27,49,32,15,31,20,9,21,15,2.47989422361266,1.87256771679717,-0.109701194080522,-1.37936952506454,-0.250003829363553,"female","1",0
"248",27,35,49,14,21,30,12,17,21,-0.264737092693235,-0.236829221070671,0.374756483318628,0.823726190823213,-0.489717532550322,"male","1",6
"249",34,45,36,22,27,23,16,18,16,1.46321786465378,1.40900486654123,-0.408532158536358,-0.00748467993539193,-1.2873135104686,"female","1",1
"250",17,36,42,9,20,26,5,12,16,1.72763268855971,1.6407862916692,-0.913380730976374,-0.488991036344112,-0.614867653446929,"female","1",3
"251",24,51,43,16,33,27,7,24,18,-0.976015691081368,0.518889806368496,-0.521736410048881,1.10079648107608,-0.250003829363553,"male","1",7
"252",25,44,41,13,27,26,8,18,17,0.569490315689364,0.421504413974088,-0.614549766520537,-1.2475676830057,-0.250003829363553,"male","1",4
"253",28,43,34,17,25,20,11,18,14,-0.488168979934339,-0.700392071326616,1.01320020231203,0.474021676473328,-0.734724505040314,"female","1",0
"254",31,46,43,21,29,26,11,20,17,2.21547939970674,1.96995310919158,-0.820567374504717,-1.59727219735559,-1.5948955434069,NA,"1",4
"255",28,24,44,15,12,26,11,9,17,-0.52915191659916,-0.468610646198644,0.415538273400359,0.67845774262918,0.177435055168128,"male","1",0
"256",32,37,41,17,24,25,9,16,16,-0.000322268787309145,-1.029558888849,0.899995950799509,0.0651495441616249,0.542298879251505,"male","1",0
"257",33,39,44,18,22,27,10,14,19,-1.03551583166319,-2.98119568226718,-1.64463780644143,-1.2341010768705,0.240010115616431,"female","1",1
"258",43,47,46,28,30,28,18,20,19,-0.447186043269517,-0.5056212865378,0.580774091302808,-0.54815865430593,-1.16216338957199,"male","1",2
"259",25,44,37,14,26,22,9,18,16,1.23978597741268,1.21423408175241,-0.501345515008015,-0.0801189040324088,-0.614867653446929,"female","1",0
"260",19,49,37,13,29,24,7,20,18,1.68664975189488,2.53090135184193,-0.820567374504717,-1.2475676830057,-1.10488159842691,"male","1",1
"261",36,46,51,21,26,29,14,23,19,0.669973392936003,1.87256771679717,-1.6038560163597,0.605823518532163,-0.124853708466945,"male","1",0
"262",32,54,54,20,33,32,11,22,23,-0.223754156028413,-0.236829221070671,-0.428923053577224,-0.343722588150078,1.57960856035655,"female","1",0
"263",32,38,55,19,24,34,11,16,22,-0.447186043269517,0.0553269561125515,0.487960734831151,0.269585610317476,-0.552292592998626,"male","3",11
"264",23,35,48,10,27,31,6,17,22,0.751939266265646,2.06733850158599,0.621555881384538,1.23259832313492,0.667449000148112,"male","2",9
"265",30,46,52,18,28,32,11,19,21,-0.570134853263982,-2.01705934141613,-2.54113069980894,-2.06531194762911,-1.09958832912369,"male","3",10
"267",16,39,41,9,21,25,5,15,17,1.19880304074785,0.65328583910206,-0.913380730976374,-0.970497392752832,-0.0675719173218641,"female","1",0
"268",18,32,49,12,15,31,6,8,19,-0.164254015446596,-0.565996038593051,1.90969309567954,-0.357189194285277,-1.53232048295859,"male","1",9
"271",32,43,56,21,27,35,13,16,24,-0.447186043269517,-1.26134031397697,-0.222905445593044,0.67845774262918,0.42244202765812,"male","1",0
"272",43,47,43,25,29,24,18,18,14,1.5042008013186,0.189722988846116,0.395147378359494,-0.0801189040324088,0.42244202765812,"female","1",4
"273",21,32,35,11,18,22,7,10,14,-0.506686183851335,-0.871798744399337,0.374756483318628,0.00598192619980706,-0.552292592998626,"female","1",2
"274",33,33,41,21,21,26,10,14,17,-2.39857288785764,-1.91967394902173,-1.0265849824889,0.00598192619980706,-0.917156417082003,"female","1",0
"275",26,41,53,15,25,33,9,18,21,-0.000322268787309145,0.384493773634931,0.601164986343673,1.43703438929077,1.03231282423149,"male","4",7
"277",15,31,39,8,18,25,5,13,16,1.95106457580081,1.21423408175241,1.01320020231203,-0.28455497018826,2.13219756578484,"male","4",9
"278",26,39,46,15,24,28,9,16,20,-0.305720029358056,-0.139443828676264,0.601164986343673,0.605823518532163,0.604873939699808,"male","3",8
"280",17,39,51,8,26,32,5,18,21,-1.72827722613432,1.21423408175241,-0.820567374504717,-0.54815865430593,1.46504497806639,"male","4",5
"281",15,33,31,8,21,20,4,14,13,0.528507379024542,-0.273839861409828,0.302334021887837,1.02816225697906,2.55963645031652,"male","3",6
"282",20,29,47,12,17,29,9,10,20,-0.976015691081368,-0.273839861409828,-0.295327907023836,0.401387452376311,-0.250003829363553,"male","3",6
"283",31,40,45,18,25,29,11,17,21,-0.793566740505086,-0.236829221070671,0.00350305743200036,-0.488991036344112,-0.124853708466945,"male","3",2
"284",25,50,38,15,29,25,9,19,16,0.264092555118617,0.421504413974088,-0.614549766520537,-0.488991036344112,0.0575782035747429,"female","1",4
"285",13,29,44,8,20,28,6,14,18,-1.24043051498729,-2.09108062209445,-1.23260259047308,-1.36590291892934,0.302585176064735,"male","4",10
